cluster_id,num_topics,average_topic_coherence,top_terms
17,1,0.3138737446485813,game; nba; inc; right; copyright; trademark; time; use; claim; brooklyn
21,1,0.4692668171724017,product; design; inc; trade; dress; exhibit; evidence; bear; color; new
19,1,0.4864865060675144,new; york; jurisdiction; nation; treaty; land; claim; indian; action; niagara
23,1,0.3683860682690517,evidence; jury; damage; trial; testimony; would; record; profit; one; witness
20,1,0.3362626209770685,dna; city; sample; codis; blood; zoning; special; property; plurality; need
24,1,0.2994253345125969,copyright; recording; claim; home; use; plan; infringement; inc; summit; dvd
11,1,0.6897387734537472,signal; said; may; image; field; circuit; recording; picture; area; output
25,1,0.3820783738188326,policy; cal; claim; action; first; section; public; amp; injury; california
27,1,0.3139984238520211,agreement; information; register; lebow; name; com; amp; trade; use; secret
18,1,0.5639886438698358,patent; claim; content; window; reference; element; said; art; object; one
16,1,0.4573822289710517,fee; attorney; motion; claim; award; trial; warner; damage; rule; time
15,1,0.6385202486114517,search; fourth; officer; amendment; privacy; parole; warrant; reasonable; right; crime
29,1,0.4933617916315477,work; copyright; similarity; idea; inc; claim; expression; two; infringement; substantial
26,1,0.558840566970918,user; computer; use; internet; work; napster; file; inc; website; site
22,1,0.395208107162569,program; claim; fox; copyright; decl; motion; computer; agreement; television; work
7,1,0.4245833584530694,167; epa; water; rule; child; permit; regulation; phase; may; discharge
12,1,0.3789346596651958,use; fair; work; copyright; inc; factor; universal; book; would; copyrighted
10,1,0.718252268454234,music; yahoo; aol; video; asx; redacted; service; user; realnetworks; internet
28,1,0.406849962460616,rule; judgment; proceeding; action; motion; order; bankruptcy; jurisdiction; property; may
9,1,0.42052243155274,copyright; work; right; agreement; inc; author; enterprise; film; would; new
14,1,0.5587346835566087,167; congress; statute; right; amendment; section; power; voting; provision; judge
13,1,0.3128949582372034,claim; market; inc; kodak; copyright; part; service; product; infringement; agreement
6,1,0.5427708408022082,mark; trademark; use; inc; confusion; name; product; good; lanham; consumer
5,1,0.454937071101826,mattel; claim; mga; trade; secret; fact; also; doll; cal; bryant
8,1,0.4229463524755439,dolori; kenly; fabric; design; pattern; garment; lane; bryant; bell; style
4,1,0.4471272761854575,school; student; city; would; public; interest; 8212; racial; majority; race
2,1,0.5046620171349906,microsoft; patent; system; infringement; window; veritas; product; use; claim; operating
3,1,0.3819808861154511,claim; rule; appeal; issue; motion; action; 9th; whether; would; order
1,1,0.381310518569487,infringement; copyright; inc; infringing; judgment; motion; claim; service; fact; summary
0,1,0.7044095812146605,license; ascap; music; fee; revenue; television; blanket; agreement; rate; right
